Major,Courses,
"Mechanical Engineering BS","Required: Chemistry and Biochemistry 20A, 20B, 20L; Mathematics 31A, 31B, 32A, 32B, 33A; Mechanical and Aerospace Engineering M20 (or Computer Science 31), 82, 94; Physics 1A, 1B, 1C, 4AL, 4BL.Required: Electrical and Computer Engineering 110L, Mechanical and Aerospace Engineering 101, 102, 103, 105A, 105D, 107, 131A or 133A, 156A, 157, 162A, 171A, 183A (or M183B); two departmental breadth courses (Electrical and Computer Engineering 100 and Materials Science and Engineering 104 — if one or both of these courses are taken as part of the technical breadth requirement, students must select a replacement upper-division course or courses from the department — except for Mechanical and Aerospace Engineering 166A — or, by petition, from outside the department); three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; two capstone design courses (Mechanical and Aerospace Engineering 162D, 162E); and two major field elective courses (8 units) from Mechanical and Aerospace Engineering 131A (unless taken as a required course), 133A (unless taken as a required course), 135, 136, C137, CM140, CM141, 150A, 150B, 150C, C150G, C150P, C150R, 153A, 154S, 155, C156B, 157A, 161A through 161D, 166C, M168, 169A, 171B, 172, 174, C175A, 181A, 182B, 182C, 183A (unless taken as a required course), M183B (unless taken as a required course), C183C, 184, 185, C186, C187L.",
"Microbiology, Immunology, and Molecular Genetics BS","Required: Chemistry and Biochemistry 14A, 14B, 14BL, 14C, and 14D, or 20A, 20B, 20L, 30A, 30AL, and 30B; Life Sciences 30A, 30B, and 40 or Statistics 13, or Mathematics 3A, 3B, 3C, and Statistics 13, or 31A, 31B, 32A, and Statistics 13; Physics 1A, 1B, 1C, 4AL, and 4BL, or 5A, 5B, and 5C.Required: Ten courses as follows: (1) Five foundation courses: Chemistry and Biochemistry 153A, 153B or Microbiology, Immunology, and Molecular Genetics 132, Life Sciences 107, Microbiology, Immunology, and Molecular Genetics 101, C185A, (2) two courses from one of the following groups: (a) Microbiology, Immunology, and Molecular Genetics 103AL and 103BL or (b) 109AL and 109BL, (3) two focus elective courses selected from Chemistry and Biochemistry 153L, Microbiology, Immunology, and Molecular Genetics 102, 105, 106, 107, 132, CM156, 158, 168, CM256, Molecular, Cell, and Developmental Biology 138, 165A, and (4) one general elective course selected from any course under item 3 above, Bioengineering 100, CM145, CM178, Biostatistics 100A, Chemistry and Biochemistry 103, 110A, M117, 136, C140, 153B, 153C, 153L, 154, 156, CM160A, C161A, 171, 172, C179, C181, Computer Science CM121, CM122, CM124, Ecology and Evolutionary Biology 121, C135, 137, 162, Epidemiology 100, Human Genetics C144, Microbiology, Immunology, and Molecular Genetics C122, 174, 191H, 198C, 199 (may be taken once), Molecular, Cell, and Developmental Biology 100, 104AL, 138, M140, C141, 143, 144, C150, 165A, 168, 172, M175A, M175B, M175C, 187AL, Neuroscience M101A, M101B, M101C, Physiological Science CM103, 121, 124, 125, 128, Statistics 100A, 100B.Required: Twelve courses as follows: (1) five foundation courses: Chemistry and Biochemistry 153A, 153B or Microbiology, Immunology, and Molecular Genetics 132, Life Sciences 107, Microbiology, Immunology, and Molecular Genetics 101, C185A, (2) Microbiology, Immunology, and Molecular Genetics 196A, 196B or Molecular, Cell, and Developmental Biology 196A, 196B, (3) Microbiology, Immunology, and Molecular Genetics 180A, 180B or Molecular, Cell, and Developmental Biology 180A, 180B, (4) two focus elective courses selected from Chemistry and Biochemistry 153L, Microbiology, Immunology, and Molecular Genetics 102, 105, 106, 107, 132, CM156, 158, 168, CM256, Molecular, Cell, and Developmental Biology 138, 165A, and (5) one general elective course selected from any course under item 3 above, Bioengineering 100, CM145, CM178, Biostatistics 100A, Chemistry and Biochemistry 103, 110A, M117, 136, C140, 153B, 153C, 156, CM160A, C161A, 171, 172, C179, C181, Computer Science CM121, CM122, CM124, Ecology and Evolutionary Biology 121, C135, 137, 162, Epidemiology 100, Human Genetics C144, Microbiology, Immunology, and Molecular Genetics 103AL, 103BL, 109AL, 109BL, C122, 174, 191H, 198C, 199, Molecular, Cell, and Developmental Biology 100, 104AL, 138, M140, C141, 143, 144, C150, 165A, 168, 172, M175A, M175B, M175C, 187AL, Neuroscience M101A, M101B, M101C, Physiological Science CM103, 121, 124, 125, 128, Statistics 100A, 100B.",
"Middle Eastern Studies BA","Required: Two courses selected from Ancient Near East 10W, History 9D, Middle Eastern Studies M50A, M50B, 50C and demonstrated proficiency equivalent to level 3 at UCLA in one modern Middle Eastern language (Arabic, Armenian, Hebrew, Persian, Turkish) or through a departmental language placement examination. Students selecting ancient languages (including Akkadian, Aramaic, Coptic, Egyptian, Old or Middle Iranian, Sumerian, Syriac) are not required to take a modern elementary Middle Eastern language.Required Core Courses: A total of six courses, including at least two from three of the following four areas:Required Elective Courses: Any five courses from the department or from Anthropology M166Q, 167, Art History C116A, 119A, 119B, C120, Economics 111, 112, Ethnomusicology 161L, 161N, French 121, 160, History 105A, 105B, 105C, M106, 107A through 107D, 108A, 108B, 109B, M110B, 111A, 111B, 111C, 116A, 116B, 164B, 167A, M184D, M185F, M185G, M185I, Philosophy 104, Political Science 132A, M132B, 157, 165, Study of Religion 120.",
"Molecular, Cell, and Developmental Biology BS","Required: Chemistry and Biochemistry 14A, 14B, 14BL, 14C, and 14D, or 20A, 20B, 20L, 30A, 30AL, and 30B; Life Sciences 30A, 30B, and 40 or Statistics 13, or Mathematics 3A, 3B, and 3C, or 31A, 31B, and 32A; Physics 1A, 1B, 1C, 4AL, and 4BL, or 5A, 5B, and 5C.Required Courses: Chemistry and Biochemistry 153A; one course from Molecular, Cell, and Developmental Biology 104AL, 150AL, 187AL, 198B, 198C, 199B, 199C, or Microbiology, Immunology, and Molecular Genetics 103AL; one developmental biology course from Molecular, Cell, and Developmental Biology 138 or C141; one cell biology course from M140 or 165A; and one molecular biology course from 144 or 165B.",
"Music BA","Required (for all concentrations): Music 120A, 120B, 120C, 140A, 140B, 140C, with grades of C or better, and courses selected from one of the concentrations listed below.",
"Music Education BA","Required: Music M6A, M6B, M6C, with grades of C− or better, 20A, 20B, 20C, with grades of C or better, 12 units from courses 60A through 65, and three years (18 units) of performance organizations (courses C90A through 90N and C90Q through 90S), as assigned by the chair or music education faculty member. In addition, students are required to take one college year — or at least one course at level three — of French, German, Italian, or Spanish, which may be used to fulfill the school language requirement.Required: (1) music core — Music 120A, 120B, 120C, 140A, 140B, 140C, with grades of C or better, three courses (6 units) from 160A through 165; (2) music education — Music 110A, 110B, 110C, 110D, 114A, 114B, 115A, 115B, 116, 117, 119A, 119B, 119C. A capstone senior recital, that may be held as early as fall quarter of the junior year, is also required.",
"Music Education BA","Required: Music M6A, M6B, M6C, with grades of C− or better, 20A, 20B, 20C, with grades of C or better, 12 units from courses 60A through 65, and three years (18 units) of performance organizations (courses C90A through 90N and C90Q through 90S), as assigned by the chair or music education faculty member. In addition, students are required to take one college year — or at least one course at level three — of French, German, Italian, or Spanish, which may be used to fulfill the school language requirement.Required: (1) music core — Music 120A, 120B, 120C, 140A, 140B, 140C, with grades of C or better, three courses (6 units) from 160A through 165; (2) music education — Music 110A, 110B, 110C, 110D, 114A, 114B, 115A, 115B, 116, 117, 119A, 119B, 119C. A capstone senior recital, that may be held as early as fall quarter of the junior year, is also required.",
"Musicology BA","Required: Musicology M6A, M6B, M6C, 12W, Music 20A, 20B, 20C, and 6 units (three terms) of performance organizations selected from Ethnomusicology 91A through 91Z, Music C90A through C90Q, Musicology 28A through 28C, CM90T, or Music Industry 111; one lower-division humanities elective (minimum of 4 units; choose from study list held in Herb Alpert School of Music Department of Student Services). Enrollment in Musicology M6A, M6B, M6C and Music 20A, 20B, 20C requires taking the Music Theory Placement Examination administered by the Music Department.Required: Musicology 125A, 125B, 125C, 126, 127, 128 (in a given year, the department may designate individual Musicology seminars in the range 160-185, 188, or 191 as equivalent to 126 and 127); one additional upper-division elective, chosen from Musicology 160 through 185, 191A through 191P, 195 (if supervised by Musicology faculty), or an equivalent seminar course in ethnomusicology, music, or music industry (see study list held in the Herb Alpert School of Music Office of Student Services and Enrollment Management; enrollments may be limited — check with the department or instructor); and the department capstone sequence, Musicology 187A, 187B, 187C.",
"Ancient Near East and Egyptology BA","Required: Three courses selected from Ancient Near East 10W, 15, Middle Eastern Studies M50A, M50B, Near Eastern Languages M20. Each course must be taken for a letter grade.Required Core Courses: One course selected from four of the following five areas (total of four courses):Required Elective Courses: Any six courses (no more than three may be from Anthropology) selected from the categories above or from Ancient Near East 121A, 121B, 121C, C123A, C123B, 124, 125A, M125B, M125C, C177, Anthropology 110, CM110Q, 111, 112R, 130, 140, English 111A, 111B, 111C, Greek 130, Hebrew 125, 130, 135, 188FL, Study of Religion M186A, M186B, M186C, Semitics 130, 141, 142.",
"Arabic BA","Required: Arabic 1A, 1B, 1C, and History 9D or Middle Eastern Studies 50C.Required: Eleven courses, including (1) Arabic 102A and 102B and 102C or 108, 150 or M151, Islamic Studies M110 and (2) six courses from Anthropology M166Q, Arabic 103A, 103B, 103C, 105, M106, M107, M110, 111A, 111B, 111C, 112A, 112B, 112C, 115, 116A, 116B, 116C, 120, M123, 130, 132, C141, 142, M148, 150 or M151 (unless taken under item 1), M155, M171, 180, 181, Art History 119A, 119B, C120, Comparative Literature 100, History 105A, 105B, 105C, M106, 108B, 111A, 111B, 111C, Islamic Studies 130, 151, Political Science 132A, M132B, 157, 165. No more than one course may be credited through a proficiency test administered by the department. No more than two upper-division 4-unit independent study or directed research courses (197, 199) may be applied toward the major. Other courses, including extra-departmental courses, may be applied with consent of the adviser.",
"Iranian Studies BA","Required: Iranian 1A, 1B, 1C, or equivalent.Required: Eleven courses, including seven in Iranian language and civilization selected from Ancient Near East CM163, Iranian 102A, 102B, 102C, 103A, 103B, 103C, M110A, M110B, M110C, 120, 140, 141, 142, 161A, 161B, 161C, 170 (at least three of the seven must be selected from Iranian 102A, 102B, 102C, 103A, 103B, 103C, 120, 140, 141, 142) and four elective courses from the department or from Art History 119A, 119B, C120, History 105A, 105B, 105C, Political Science 157. A maximum of two Iranian 197 or 199 courses (8 units total) may be applied toward the major.",
"Jewish Studies BA","Required: Jewish Studies M10 or two courses selected from Ancient Near East 10W, Middle Eastern Studies M50A, M50B, 50C and demonstrated proficiency equivalent to level 3 at UCLA in one foreign language (Arabic, Armenian, Hebrew) in consultation with the department.Required: Eleven courses, including (1) three selected from Hebrew 102A, 102B, 102C, 103A, 103B, 103C, 110A, 110B, 111A, 111B, 111C, 120, 125, 130, 135, C140 — students may substitute another upper-division language (Judeo-Arabic, Judeo-Persian, Ladino, Yiddish) if they can demonstrate its integral role in their specific course of study, (2) two courses selected from Jewish Studies M182A, M182B, M182C, M184A, and (3) six elective courses selected from Hebrew or Jewish studies or from Ancient Near East M135, 162, English 111A, 111C, German 109, History 191F, Iranian 130, 131, Political Science 121A, 132A, M132B, Semitics 130, Study of Religion 120, Yiddish 101A, 101B, 101C, 102A, 102B, 102C, 121A, 121B, 121C, 130, 131A, 131B, 131C.",
"Middle Eastern Studies BA","Required: Two courses selected from Ancient Near East 10W, History 9D, Middle Eastern Studies M50A, M50B, 50C and demonstrated proficiency equivalent to level 3 at UCLA in one modern Middle Eastern language (Arabic, Armenian, Hebrew, Persian, Turkish) or through a departmental language placement examination. Students selecting ancient languages (including Akkadian, Aramaic, Coptic, Egyptian, Old or Middle Iranian, Sumerian, Syriac) are not required to take a modern elementary Middle Eastern language.Required Core Courses: A total of six courses, including at least two from three of the following four areas:Required Elective Courses: Any five courses from the department or from Anthropology M166Q, 167, Art History C116A, 119A, 119B, C120, Economics 111, 112, Ethnomusicology 161L, 161N, French 121, 160, History 105A, 105B, 105C, M106, 107A through 107D, 108A, 108B, 109B, M110B, 111A, 111B, 111C, 116A, 116B, 164B, 167A, M184D, M185F, M185G, M185I, Philosophy 104, Political Science 132A, M132B, 157, 165, Study of Religion 120.",
"Neuroscience BS","Required: Chemistry and Biochemistry 14A, 14B, 14BL, 14C, 14CL, and 14D, or 20A, 20B, 20L, 30A, 30AL, 30B, and 30BL; Life Sciences 7A, 7B, 7C, and 23L; Mathematics 3A, 3B, 3C, and Statistics 10 or 13, or Mathematics 31A, 31B, 32A, and Statistics 10 or 13, or Life Sciences 30A, 30B, and 40 or Statistics 13; Physics 1A, 1B, 1C, 4AL, and 4BL, or 5A, 5B, and 5C.Required Core: Neuroscience M101A (with grade of C− or better for Neuroscience majors), M101B, M101C, 102, Chemistry and Biochemistry 153A. Psychology 115 cannot be substituted for Neuroscience M101A; however, Physiological Science 111A can be substituted.",
"Nordic Studies BA","Required: Nine courses from the following five tracks, with at least one course in four of the tracks: (1) early Nordic literatures and cultures — Scandinavian C131, 132A, 132B, C133A, 134, C137, 138, (2) theory, genres, and authors — Scandinavian C141A, 141B, 141C, 142A, 143C, CM144A, C145A, C145B, C146A, 147A, C147B, (3) literary periods — Scandinavian 152, 155, 156, 157, (4) Scandinavian cinema — Scandinavian 161, C163A, C166A, C166C, (5) cultural studies — Scandinavian C171, 173A, C174A, 174B, C175, C180; and one senior capstone course (Scandinavian 199) under the direction of a faculty member.",
"Nursing BS Prelicensure","Required: Chemistry and Biochemistry 14A, 14B, 14C, Communication 1 or 10, Life Sciences 7A, 7C, Mathematics 3A or 31A, Microbiology, Immunology, and Molecular Genetics 10, Nursing 3, 10, 13, 20, 50, 54A, 54B, Psychology 10.Required: Biostatistics 100A, Nursing 115, 150A, 150B, 152A, 152B, 160, 161, 162A through 162D, 164, 165, 168, 171, 173, 174, and completion of a capstone senior scholarly project (course 169). Transfer students must complete Nursing 10, 20, 50, 54A, and 54B on entry. Students may request to pursue a minor in a related field if the coursework can be completed within the 216-unit limit.",
"Nursing BS Prelicensure","Required: Chemistry and Biochemistry 14A, 14B, 14C, Communication 1 or 10, Life Sciences 7A, 7C, Mathematics 3A or 31A, Microbiology, Immunology, and Molecular Genetics 10, Nursing 3, 10, 13, 20, 50, 54A, 54B, Psychology 10.Required: Biostatistics 100A, Nursing 115, 150A, 150B, 152A, 152B, 160, 161, 162A through 162D, 164, 165, 168, 171, 173, 174, and completion of a capstone senior scholarly project (course 169). Transfer students must complete Nursing 10, 20, 50, 54A, and 54B on entry. Students may request to pursue a minor in a related field if the coursework can be completed within the 216-unit limit.",
"Philosophy BA","Required: Four lower-division courses, including Philosophy 7 or 21, 22, 31, and one other lower-division philosophy course.Required: Thirteen upper-division (100 series) or graduate (200 series) philosophy courses (52 units), including Philosophy 100A, 100B, 100C. Seven of the 13 courses must be distributed among the groups into which the undergraduate and graduate courses are divided — history of philosophy; logic, semantics and philosophy of science; ethics and value theory; and metaphysics and epistemology. Students must take two courses in each of three of the groups and one course in the remaining group.",
"Astrophysics BS","Required: Astronomy 81, 82; Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17, 18L; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Program in Computing 10A or demonstrated ability to program. Systematic study of astrophysics should begin with Astronomy 81 and 82, taken in the second year. Recommended: Chemistry and Biochemistry 20A.Required: Astronomy 115, 117, 127, 140, 180; Physics 105A, 105B, 110A, 110B, 115A, 115B, 115C, 131. Recommended: Physics 108, M122, 124, 132, 140A, 140B.",
"Biophysics BS","Required: Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17; Chemistry and Biochemistry 20A, 20B, 30A, 30B; Life Sciences 7A, 7B, 7C; Mathematics 31A, 31B, 32A, 32B, 33A, 33B. Recommended: Physics 18L.Required: Physics 105A, 110A, 110B, 112, 115A, 115B, 131, M180G, C187A, C187B; either course 144 or C186; Chemistry and Biochemistry 153A, 153L; Molecular, Cell, and Developmental Biology 100 or M140 or 165A. Recommended: Life Sciences 107, Physics 108, 117, Chemistry and Biochemistry CM160A, and guided research in chemistry and biochemistry, molecular, cell, and developmental biology, or physics. An overall 2.0 grade-point average in all upper-division courses is required.",
"Physics BA","Required: Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17, 18L; Chemistry and Biochemistry 20A; Mathematics 31A, 31B, 32A, 32B, 33A, 33B. A detailed brochure on the major is available from the Undergraduate Office, 1-707A Physics and Astronomy Building.Required: Physics 105A, 105B, 110A, 110B, 112, 115A, 115B, 115C, 131, one course from the 180 series. A C average in the upper-division physics courses is required.",
"Physics BS","Required: Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17, 18L; Chemistry and Biochemistry 20A; Mathematics 31A, 31B, 32A, 32B, 33A, 33B. A detailed brochure on the major is available from the Undergraduate Office, 1-707A Physics and Astronomy Building.Required: Physics 105A, 105B, 110A, 110B, 112, 115A, 115B, 115C, 131. The remainder of the course of study consists of a plan, to be worked out by students in consultation with their designated departmental adviser, that details which courses they take to complete the degree. There are four overall requirements: (1) the plan must be worked out five terms before students expect to graduate; (2) the plan must include two courses from Physics 118 and 180A through 180Q, which should be taken in the senior year; (3) there must be three additional upper-division courses in the plan, preferably selected from Physics 108, 114, 117, M122, 123, 124, 126, 127, 128, 132, 140A, 140B, 144, 150, C187A, 188A; (4) there must be written rationale for the plan. Except for the Physics 180 laboratories, the courses need not be in the Physics and Astronomy Department. However, it is expected that the courses fit into a coherent structure. It is important that the structure and rationale are thought out carefully, as the plan must be endorsed by the designated adviser and be approved by the departmental academic affairs committee. Preapproved plans of study are available from the undergraduate advisers. A C average is required in all courses taken to satisfy the major requirements.",
"Physiological Science BS","Required: Chemistry and Biochemistry 14A, 14B, 14BL, 14C, 14CL, and 14D, or 20A, 20B, 20L, 30A, 30AL, 30B, and 30BL; Life Sciences 7A, 7B, 7C, and 23L; Mathematics 3A, 3B, and 3C, or 31A, 31B, and 32A, or Life Sciences 30A, 30B, and 40, or Statistics 13; Physics 1A, 1B, 1C, 4AL, and 4BL, or 5A, 5B, and 5C.Required: Physiological Science 107, 111A, 111B, 111L, Chemistry and Biochemistry 153A.",
"Political Science BA","Required: Four lower-division courses from Political Science 10, 20, 30, 40, 50. Students must also take Political Science 6 or 6R. Statistics 10 or 12 may be substituted for course 6 or 6R.Required: Ten upper-division courses (40 units) selected from Political Science M105 through 199, each taken for a letter grade. Students are required to maintain a 2.0 overall grade-point average in all upper-division political science courses.",
"Portuguese BA","Required: Portuguese 25 or 26 or 27 (27 recommended), and 46, or equivalent.Required: Ten upper-division courses (45 units minimum), including Portuguese 100A or 100B, 130A, 130B, and seven elective courses selected from 100A through 199. Two courses from outside the department that focus on Brazil, Portugal, or Lusophone Africa may be applied toward the major with approval of the undergraduate adviser. A minimum of eight of the 10 courses must be taught in Portuguese.",
"Spanish BA","Required: Spanish 25 or 27 or equivalent, and 42 and 44 or equivalent as determined by the undergraduate adviser. Each course must be passed with an average grade of C or better prior to beginning upper-division work in the major.Required: (1) Two core courses (Spanish 119 and 120), (2) eight upper-division Spanish elective courses in literature, culture, linguistics, media, service learning, or interdisciplinary studies, up to two of which may be from an outside department that deals with Spain or Spanish America and have been approved by the undergraduate adviser, and (3) one senior capstone seminar (Spanish 191C).",
"Spanish and Community and Culture BA","Required: Spanish 25 (or 27), 42, 44. Each course must be passed with an average grade of C or better prior to beginning upper-division work in the major.Required: (1) Spanish 100A or 100B, and 119 or 120; (2) four elective Spanish literature, culture, linguistics, or media studies courses selected from 130, 135, 140, 150, 155C, 160, 170, 175, 195; (3) two interdisciplinary studies courses selected from Chicana and Chicano Studies 100SL, CM106, M119, 120, M121, M122, 131, M144, 149, 181, Sociology M155; (4) two capstone community-based and experiential learning courses (8 to 10 units) selected from Chicana and Chicano Studies 100SL, Spanish M165SL, M172SL.",
"Spanish and Linguistics BA","Required: Spanish 25 or 27, M35 (or Linguistics 20), 42 or 44. Each course must be passed with an average grade of C or better prior to beginning upper-division work in the major.Required: (1) Spanish 100A, 100B, Linguistics 103, 120A, 120B, (2) one course from Linguistics 160 or 165A or 165B, and (3) four upper-division Spanish electives, two of which must be from Spanish 160.",
"Spanish and Portuguese BA","Required: Spanish 25 or 27, 42 or 44, Portuguese 25 or 26 or 27 (27 recommended), and 46.Required: (1) One course from Spanish 100A or 100B and one course from Portuguese 100A or 100B, (2) Spanish 119, 120, Portuguese 130A, 130B, (3) five 4- or 5-unit upper-division elective courses, two of which must be in Spanish and two in Portuguese. Only upper-division courses taught in the target language may be applied toward the major.",
"Psychobiology BS","Required: Chemistry and Biochemistry 14A, 14B, 14BL, 14C, and 14D, or 20A, 20B, 20L, 30A, 30AL, and 30B; Life Sciences 30A, 30B, and 40 or Statistics 13, or Mathematics 3A, 3B, and 3C, or 31A, 31B, and 32A; Physics 1A, 1B, 1C, 4AL, and 4BL, or 5A, 5B, and 5C.Required: (1) Ecology and Evolutionary Biology 100 or 129 or Psychology 118, and Psychology 110, 115 (or M117A, M117B, and M117C), 116 or Neuroscience 101L, 120A or 120B; (2) one course from Psychology 127A, 127B, 127C, 130, 133A through 133I, 135, 150, 161; (3) 16 units of graded elective courses from the following list: Ecology and Evolutionary Biology 112, 113A, 114A (no more than one from this group), Psychology 111, 112A through 112D, M117A, M117B, M117C, M117J, 119A through M119X, 124K, 137G, 152, 160, 161, 162, 164, M166, 186D, 191CH (only if content is approved by the undergraduate vice chair), Chemistry and Biochemistry 153A, 153L, Computational and Systems Biology M187, Ecology and Evolutionary Biology 100, 102, 105, 106, 110, 111, 115, 117, C119A, 120, 121, 122, 124A (only 4 units may be applied toward the major), 129, C135, 164, 170, Life Sciences 107, Microbiology, Immunology, and Molecular Genetics C185A, Molecular, Cell, and Developmental Biology 100, 104AL, 138, M140, CM156, Neuroscience 102, Physiological Science C144, 146, 147, 166, 173.",
"Cognitive Science BS","Required: (1) Psychology 115 (or M117A, M117B, and M117C), 120A or 120B, and one course from 124A through 124K; (2) one course from 111, 116, 121, 186A through 186D, Computer Science 161; (3) four upper-division elective courses (16 units) from Psychology 110, 111, 112A through 116, M117J through M119X, 120A, 120B, 121, 124A through 124K (if taken for the major, may not be applied as an elective), 130, 133B, 133E, 135, 137G, 142H, 160, 161, M166, 186A through 186D, 187A, 191CH (if content is approved by the Undergraduate Advising Office and course has not been applied toward the Psychology 195B or 196B requirement), Anthropology 124Q, 136A, M150, Communication 118, 119, 126, M127, 129, Computer Science 111 through CM186, Linguistics 103 through 185B, Mathematics 110A through 171, Music Industry M103, Neuroscience 102, M145, C177, 180, 181, 182, Philosophy 124 through 137, Statistics 100A, 100B, 100C, 101B, 101C; and (4) in the junior or senior year, two capstone terms of Psychology 195B or 196B (may be fulfilled by taking any two courses from 195B or 196B or 196B/194C, provided content is approved by the Undergraduate Advising Office).",
"Psychobiology BS","Required: Chemistry and Biochemistry 14A, 14B, 14BL, 14C, and 14D, or 20A, 20B, 20L, 30A, 30AL, and 30B; Life Sciences 30A, 30B, and 40 or Statistics 13, or Mathematics 3A, 3B, and 3C, or 31A, 31B, and 32A; Physics 1A, 1B, 1C, 4AL, and 4BL, or 5A, 5B, and 5C.Required: (1) Ecology and Evolutionary Biology 100 or 129 or Psychology 118, and Psychology 110, 115 (or M117A, M117B, and M117C), 116 or Neuroscience 101L, 120A or 120B; (2) one course from Psychology 127A, 127B, 127C, 130, 133A through 133I, 135, 150, 161; (3) 16 units of graded elective courses from the following list: Ecology and Evolutionary Biology 112, 113A, 114A (no more than one from this group), Psychology 111, 112A through 112D, M117A, M117B, M117C, M117J, 119A through M119X, 124K, 137G, 152, 160, 161, 162, 164, M166, 186D, 191CH (only if content is approved by the undergraduate vice chair), Chemistry and Biochemistry 153A, 153L, Computational and Systems Biology M187, Ecology and Evolutionary Biology 100, 102, 105, 106, 110, 111, 115, 117, C119A, 120, 121, 122, 124A (only 4 units may be applied toward the major), 129, C135, 164, 170, Life Sciences 107, Microbiology, Immunology, and Molecular Genetics C185A, Molecular, Cell, and Developmental Biology 100, 104AL, 138, M140, CM156, Neuroscience 102, Physiological Science C144, 146, 147, 166, 173.",
"Psychology BA","Required: (1) Five core courses, with at least two from each category and a fifth course from either category: (a) Psychology 110, 115 (or M117A, M117B, and M117C), 120A, 120B, and (b) 127A or 127B or 127C, 130 (or one course from 133A through 133I or 161), 135, 150; (2) one laboratory/fieldwork course from 101, 111, 116, 121, 126, 131, 136A, 136B, 136C, 151, 186A through 186D; (3) four additional upper-division elective courses (16 units) in psychology.",
"Public Affairs BA","Required: Public Affairs 10, 20, 30, 40, 50, 60, 70, 80. Each course must be taken for a letter grade. Preparation for the major courses must be completed with a C grade or better.Required: (1) Two theory courses selected from Public Affairs 110, 111, 112, 113, 114; (2) both research methods courses Public Affairs 115, 116; (3) three-term capstone sequence Public Affairs 194A, 194B, and 194C taken concurrently with 195A, 195B, and 195C; (4) three additional upper-division public affairs courses.",
"Russian Language and Literature BA","Required: Russian 6 or 20 or equivalent proficiency, one course from 25, 25W, 90A, 90B, or 90BW.Required: Ten courses (44 to 47 units), including (1) three Russian language courses selected from Russian 100A, 100B, 100C, 101A, 101B, 101C, 102A, 102B, 102C, 103A, 103B, 103C, 107A, 107B, 107C, 108 (consult with the undergraduate adviser for appropriate placement); (2) five Russian literature and culture courses selected from 119, 120, 121, 129, 130A, 130B, 130C, 140A through 140D; and (3) two additional Russian language and/or literature courses selected from 102A, 102B, 102C, 103A, 103B, 103C, 107A, 107B, 107C, 108, M118, 122, C124C, C124D, C124G, C124N, C124P, C124T, M127, Slavic CM114.",
"Russian Studies BA","Required: Russian 6 or 20 or equivalent proficiency, one course from 25, 25W, 90A, 90B, or 90BW.Required: Ten courses (44 to 47 units), including (1) three Russian language courses selected from Russian 100A, 100B, 100C, 101A, 101B, 101C, 102A, 102B, 102C, 103A, 103B, 103C, 107A, 107B, 107C, 108 (consult with the undergraduate adviser for appropriate placement); (2) three additional Russian language and/or literature courses selected from 102A, 102B, 102C, 103A, 103B, 103C, 107A, 107B, 107C, 108, M118, 119, 120, 121, 122, C124C, C124D, C124G, C124N, C124P, C124T, 129; and (3) four related fields courses selected from History M127A through 127D, Political Science 128A, 128B, 156A, Slavic CM114.",
"Nordic Studies BA","Required: Nine courses from the following five tracks, with at least one course in four of the tracks: (1) early Nordic literatures and cultures — Scandinavian C131, 132A, 132B, C133A, 134, C137, 138, (2) theory, genres, and authors — Scandinavian C141A, 141B, 141C, 142A, 143C, CM144A, C145A, C145B, C146A, 147A, C147B, (3) literary periods — Scandinavian 152, 155, 156, 157, (4) Scandinavian cinema — Scandinavian 161, C163A, C166A, C166C, (5) cultural studies — Scandinavian C171, 173A, C174A, 174B, C175, C180; and one senior capstone course (Scandinavian 199) under the direction of a faculty member.",
"Scandinavian Languages and Cultures BA","Required: Scandinavian 1, 2, and 3, or 11, 12, and 13, or 21, 22, and 23, or equivalent.Required: Seven courses from at least three of the following five tracks: (1) early Nordic literatures and cultures — Scandinavian C131, 132A, 132B, C133A, C137, 138, (2) theory, genres, and authors — Scandinavian C141A, 141C, 142A, 143C, CM144A, C145A, C145B, C146A, 147A, C147B, (3) literary periods — Scandinavian 152, 155, 156, 157, (4) Scandinavian cinema — Scandinavian 161, C163A, C166A, C166C, (5) cultural studies — Scandinavian C171, C174A, 174B, C175; and one senior capstone course (Scandinavian 199) under the direction of a faculty member.",
"Scandinavian Languages and Cultures BA","Required: Scandinavian 1, 2, and 3, or 11, 12, and 13, or 21, 22, and 23, or equivalent.Required: Seven courses from at least three of the following five tracks: (1) early Nordic literatures and cultures — Scandinavian C131, 132A, 132B, C133A, C137, 138, (2) theory, genres, and authors — Scandinavian C141A, 141C, 142A, 143C, CM144A, C145A, C145B, C146A, 147A, C147B, (3) literary periods — Scandinavian 152, 155, 156, 157, (4) Scandinavian cinema — Scandinavian 161, C163A, C166A, C166C, (5) cultural studies — Scandinavian C171, C174A, 174B, C175; and one senior capstone course (Scandinavian 199) under the direction of a faculty member.",
